design_label,design_size,no_of_instances,no_of_gates,no_of_inputs,no_of_outputs,num_macros,pin_density,congestion_risk_score
2430,11753,24356,807,54,20,6370,0.7354,0.34
2431,28061,44533,6270,82,16,16552,0.2733,0.43
2432,16505,11414,10154,56,75,17647,0.7653,0.69
2433,8701,752,14366,92,95,8855,0.6263,0.2
2434,994,16282,9376,81,92,14750,0.7123,0.01
2435,614,41680,9006,5,54,14334,0.8846,0.98
2436,23778,36658,19159,16,19,7553,0.3361,0.9
2437,21388,15759,19802,28,63,19907,0.5531,0.3
2438,24351,34513,3547,41,74,11539,0.7273,0.48
2439,29645,10535,9914,88,66,17723,0.5036,0.49
2440,4209,28167,8824,74,87,18814,0.2383,0.87
2441,13358,22358,14089,80,76,273,0.278,0.6
2442,15413,28387,1871,89,66,12909,0.6215,0.83
2443,15449,3788,17619,7,54,11065,0.3995,0.91
2444,7279,7789,12767,31,81,11256,0.2965,0.57
2445,10426,1479,18071,57,58,5729,0.4379,0.29
2446,11887,37111,10422,21,58,19074,0.3407,0.5
2447,27632,43105,8430,19,32,13146,0.2168,0.85
2448,1660,27724,1796,43,55,14252,0.3063,0.58
2449,13712,26064,5847,8,78,1073,0.8182,0.9
2450,17750,22991,16333,21,37,17977,0.2084,0.9
2451,26845,49198,8139,15,5,1829,0.7417,0.37
2452,20122,38479,19054,16,89,18134,0.7274,0.45
2453,25425,12616,12187,36,73,12172,0.595,0.68
2454,19911,13986,7647,31,5,15830,0.3459,0.11
2455,4880,20407,6157,48,59,10476,0.8146,0.47
2456,18411,24943,2843,47,89,12586,0.5326,0.15
2457,28480,46584,11188,95,93,11401,0.3212,0.85
2458,11994,6012,2550,53,88,4033,0.5003,0.94
2459,2456,21614,13188,97,49,14155,0.3364,0.14
2460,4890,21923,8411,77,77,9265,0.4632,0.67
2461,27011,28897,4975,47,84,14631,0.5477,0.64
2462,16790,6549,17514,7,96,15312,0.4519,0.76
2463,24463,1825,4503,33,44,15820,0.6599,0.7
2464,20149,15970,18682,89,65,7435,0.8551,0.22
2465,10281,9404,14829,39,40,17259,0.4437,0.29
2466,7157,7622,12150,52,28,2786,0.449,0.17
2467,16182,13763,15212,78,84,19840,0.7168,0.92
2468,761,4884,1375,91,18,19208,0.5714,0.52
2469,4744,9572,11419,43,92,10101,0.5002,0.98
2470,15811,29052,10390,93,79,10581,0.7697,0.45
2471,24987,10155,13458,28,5,2784,0.8237,0.55
2472,3020,29608,18122,24,51,1542,0.6134,0.79
2473,25758,12776,19419,19,80,9189,0.3296,0.8
2474,16102,25292,18510,89,25,732,0.5264,0.23
2475,27647,24822,1511,80,77,13944,0.5531,0.29
2476,14125,7546,9644,22,43,18674,0.5025,0.1
2477,9046,4825,122,64,7,11996,0.3837,0.81
2478,28806,20161,6080,91,20,150,0.5306,0.79
2479,12832,47637,19230,97,72,1143,0.5126,0.08
2480,6336,22771,7767,45,30,13535,0.3466,0.26
2481,16409,1509,13381,73,58,10733,0.8324,0.45
2482,22562,8305,13986,94,17,8674,0.8197,0.54
2483,13618,16465,18927,79,65,5384,0.7317,0.52
2484,452,356,3626,15,24,586,0.4807,0.98
2485,25578,15804,8150,60,87,17034,0.4592,0.76
2486,28564,30002,13662,22,31,9908,0.7015,0.11
2487,7105,35858,5778,16,6,2805,0.6257,0.29
2488,14136,1295,82,20,14,8560,0.6204,0.35
2489,16642,34112,10936,31,64,15695,0.2869,0.32
2490,26653,11515,14128,21,93,10104,0.6328,0.79
2491,1056,39634,4423,89,23,11974,0.8313,0.36
2492,2171,21786,14518,35,19,1577,0.2601,0.49
2493,8695,11762,13087,39,51,493,0.4374,0.53
2494,15240,49078,14511,31,28,15699,0.5563,0.27
2495,12903,28843,2442,91,20,8628,0.6802,0.32
2496,27455,32261,11113,36,85,5724,0.2627,0.78
2497,26063,43181,19111,21,64,5245,0.811,0.87
2498,3553,2502,17835,15,84,1919,0.2284,0.04
2499,6775,49748,867,5,86,10253,0.8004,0.61
2500,1055,13375,6253,96,53,11593,0.2194,0.63
2501,6395,28282,2488,86,8,16713,0.3075,0.74
2502,16021,15015,17644,53,70,820,0.7602,0.69
2503,18196,1009,6691,45,53,17387,0.8021,0.88
2504,15382,48674,17033,24,35,1609,0.8876,0.08
2505,4803,472,14076,75,70,19880,0.281,0.39
2506,6663,22720,18280,41,58,11609,0.5685,0.78
2507,25949,34212,18321,20,6,7032,0.254,0.85
2508,22115,8615,17113,43,65,18874,0.3095,0.26
2509,12103,2531,19686,49,19,158,0.3221,0.59
2510,10917,21154,1885,68,64,9197,0.2444,0.18
2511,27058,32724,12272,51,47,7128,0.8251,0.85
2512,26117,10685,2227,27,97,19794,0.2884,0.73
2513,11271,48330,8192,36,44,19923,0.6405,0.22
2514,26473,32058,198,53,89,367,0.638,0.62
2515,12682,1795,17929,85,34,390,0.3391,0.51
2516,12301,34775,13155,23,67,13678,0.8989,0.26
2517,29526,33887,1794,82,28,4494,0.4432,0.89
2518,17878,44325,1696,71,48,18508,0.8336,0.15
2519,12573,1503,19429,43,18,12738,0.8638,0.47
2520,9561,17910,9914,93,32,16091,0.8643,0.58
2521,21216,8955,13716,64,18,12705,0.727,0.82
2522,20198,38736,3717,15,60,10632,0.3777,0.15
2523,15696,10939,17010,53,38,12230,0.2845,0.61
2524,629,110,11337,19,82,13241,0.5989,0.01
2525,28299,39198,16352,87,93,13434,0.452,0.82
2526,19442,47929,13060,65,16,11435,0.7817,0.23
2527,24388,9330,4829,47,60,12178,0.7215,0.72
2528,27590,40332,8237,19,65,12523,0.3935,0.6
2529,29565,47614,13079,83,65,7029,0.2119,0.05
2530,20075,35871,3022,83,44,2416,0.3661,0.18
2531,26823,29356,18479,77,24,12931,0.597,0.27
2532,23379,25751,11190,9,46,15377,0.2553,0.89
2533,12865,32483,18061,87,11,1615,0.6608,0.48
2534,14010,40063,14897,92,83,3754,0.6702,0.91
2535,11661,13762,14473,33,77,4251,0.3186,0.05
2536,9231,13839,1538,66,72,12755,0.6174,0.01
2537,625,48456,9177,64,35,12259,0.6249,0.95
2538,22961,1889,19997,73,91,12979,0.5346,0.72
2539,16485,19520,9956,26,74,10494,0.8673,0.78
2540,474,23861,1852,17,96,8806,0.2757,0.92
2541,27016,40466,15677,54,80,3503,0.4846,0.98
2542,12297,37706,3570,51,51,15706,0.818,0.1
2543,27728,38740,5946,33,55,9544,0.4704,0.16
2544,4748,44235,15294,84,62,14574,0.4972,0.19
2545,2465,37167,3361,21,26,19024,0.6678,0.82
2546,18009,17457,18739,24,28,307,0.6659,0.36
2547,29152,39951,18401,82,38,14838,0.216,0.59
2548,1746,38362,8059,10,67,1096,0.519,0.86
2549,113,11417,11956,26,64,6696,0.4335,0.68
2550,4699,21634,12277,13,23,18666,0.6394,0.07
2551,2378,25834,5512,36,28,16482,0.589,0.45
2552,14396,35997,13110,92,68,1903,0.6556,0.07
2553,3255,32972,3508,37,24,12096,0.6576,0.48
2554,8421,40301,3780,81,31,2118,0.3784,0.22
2555,3914,7789,7597,74,62,13466,0.3725,0.0
2556,13225,3667,77,53,48,7507,0.4592,0.81
2557,3316,20832,15558,34,97,5873,0.3694,0.97
2558,27614,20874,19925,20,69,278,0.678,0.96
2559,28604,23295,6473,69,50,3302,0.622,0.3
2560,26716,37512,12503,86,58,401,0.3515,0.83
2561,24703,47834,17607,90,43,2322,0.8189,0.68
2562,2213,44198,16772,94,11,17291,0.5225,0.8
2563,25928,22357,9310,18,58,14699,0.2889,0.85
2564,20840,4494,15911,60,47,9118,0.3491,0.98
2565,10338,36402,17275,41,24,4244,0.5779,0.15
2566,13860,22328,12526,53,88,13749,0.4369,0.77
2567,22027,12488,12988,82,29,18826,0.7959,0.73
2568,21039,11419,16727,94,47,3374,0.5463,0.29
2569,28699,6575,10099,54,89,11193,0.8407,0.39
2570,12688,31655,18081,40,77,6311,0.2713,0.18
2571,23546,18258,5664,56,31,1482,0.668,0.91
2572,3474,14828,11733,27,96,530,0.82,0.88
2573,6530,44874,11737,70,29,3020,0.4051,0.61
2574,19950,29645,3851,75,40,1715,0.295,0.51
2575,19565,31200,8330,49,70,16762,0.5197,0.23
2576,12070,16250,7426,90,13,19688,0.8729,0.79
2577,729,33314,10198,32,87,14315,0.6434,0.01
2578,16753,32976,14110,24,83,8658,0.6508,0.46
2579,10931,3339,17333,53,57,7300,0.6701,0.86
2580,26669,38799,19911,61,25,18735,0.2278,0.62
2581,5824,36921,1794,86,54,994,0.512,0.64
2582,22381,30715,18687,92,20,2102,0.2543,0.07
2583,11183,13846,11903,63,70,10592,0.4211,0.29
2584,13249,21021,14713,30,30,7753,0.7751,0.67
2585,19916,22845,1683,23,48,1501,0.6594,0.05
2586,9572,1345,8199,17,33,11253,0.8969,0.33
2587,6376,46707,14721,78,50,11025,0.3205,0.35
2588,15735,24953,4751,66,95,7968,0.4779,0.5
2589,5995,27732,13399,18,75,14015,0.7667,0.36
2590,14094,12956,1063,77,53,1636,0.351,0.45
2591,23599,5205,16329,15,19,16823,0.3076,0.55
2592,23140,35790,3349,71,21,3778,0.4993,0.13
2593,10652,2613,1556,16,13,12349,0.4686,0.18
2594,17059,2901,4853,39,81,6530,0.8861,0.83
2595,23513,32445,17411,43,36,19088,0.5194,0.46
2596,6199,13995,18251,36,70,14514,0.8027,0.36
2597,9599,39849,14810,18,63,4156,0.8216,0.43
2598,19676,8321,10876,69,36,8731,0.3105,0.17
2599,3278,6138,13871,31,88,18753,0.7007,0.24
2600,22536,32131,13057,64,47,11170,0.3943,0.52
2601,19218,15182,15836,47,87,11405,0.2663,0.36
2602,6216,14748,9190,69,95,6202,0.8123,0.48
2603,15663,464,6848,59,63,19368,0.4047,0.15
2604,26888,34668,16907,97,34,19257,0.4418,0.16
2605,27028,14210,617,92,15,2555,0.4268,0.38
2606,3668,6058,11674,85,84,14836,0.3402,0.38
2607,9947,9196,12265,39,30,7848,0.5042,0.88
2608,26255,7536,8016,99,98,6984,0.4998,0.03
2609,14235,21277,18692,36,6,9053,0.4861,0.99
2610,18687,26854,8170,23,38,16489,0.8414,0.96
2611,17874,24644,16329,99,45,8949,0.4378,0.54
2612,1842,12738,11386,43,90,14764,0.2213,0.72
2613,18409,279,4360,24,35,15911,0.3249,0.94
2614,719,3973,13237,32,67,17443,0.705,0.25
2615,17758,17670,14139,7,59,3366,0.6136,0.32
2616,17440,48323,2032,36,65,13109,0.8662,0.11
2617,2039,17257,1146,90,89,3539,0.6861,0.56
2618,20437,45665,13632,62,40,9642,0.336,0.16
2619,27057,4560,6547,58,44,15251,0.2845,0.93
2620,16101,48184,13595,46,27,17627,0.5645,0.43
2621,1068,452,11632,19,30,5044,0.6657,0.92
2622,14946,21686,15428,87,22,7556,0.3159,0.21
2623,25992,5444,10914,66,83,1547,0.6212,0.69
2624,25719,4607,18853,35,38,9492,0.8055,0.65
2625,381,37698,4329,65,90,2460,0.7093,0.4
2626,27520,44088,17107,30,32,11792,0.6649,0.9
2627,15460,32985,19236,73,53,8716,0.7525,0.43
2628,6362,16965,7362,61,68,6977,0.2729,0.2
2629,1158,37155,15490,24,75,15471,0.3427,0.98
2630,20777,27313,2419,70,67,8512,0.2267,0.44
2631,10824,4577,16242,25,66,6067,0.3015,0.21
2632,28504,6633,17500,64,46,7055,0.8392,0.36
2633,5278,49495,5482,67,28,19985,0.3555,0.61
2634,7080,23496,737,55,39,14159,0.6635,0.51
2635,29956,12855,13225,96,81,4507,0.6841,0.64
2636,9300,965,118,88,59,9236,0.6517,0.66
2637,1329,11273,10345,43,53,17202,0.5877,0.12
2638,25711,38197,6824,15,81,13380,0.5403,0.31
2639,21069,33471,16853,61,99,5124,0.4939,0.75
2640,8567,38624,12240,7,63,9173,0.8418,0.65
2641,19224,11354,10839,41,87,14348,0.2067,0.09
2642,2389,4118,6941,88,97,14847,0.2374,0.32
2643,1339,5292,10366,29,26,7241,0.5448,0.93
2644,5470,2115,489,25,89,7598,0.4314,0.86
2645,16270,42718,17642,84,65,19402,0.4858,0.67
2646,225,3480,18997,46,84,13114,0.8985,0.07
2647,28741,28443,7516,5,34,2709,0.7426,0.61
2648,12604,3870,17687,27,73,683,0.8142,0.01
2649,23957,5929,3259,28,64,15766,0.458,0.66
2650,28544,34481,3599,51,10,3278,0.3677,0.73
2651,25884,46015,17048,93,89,17682,0.7376,0.5
2652,15498,15645,3128,11,15,17416,0.7653,0.0
2653,21826,18363,3540,42,28,2560,0.5849,0.67
2654,23835,38240,3593,51,96,15666,0.8272,0.82
2655,6738,43406,18334,39,83,1039,0.8771,0.59
2656,6670,25775,6801,82,55,1666,0.5297,0.71
2657,3349,25462,14956,66,23,8666,0.3559,0.09
2658,9210,248,18146,77,54,9672,0.562,0.72
2659,7695,1854,14475,7,85,18069,0.8927,0.61
2660,13705,26845,18763,24,7,12442,0.405,0.33
2661,12215,7478,11861,48,7,6445,0.6323,0.69
2662,6394,46459,17628,36,96,5268,0.6858,0.65
2663,23011,20240,6831,30,35,16611,0.3498,0.6
2664,5857,9471,17812,52,51,13626,0.6119,0.18
2665,12695,27099,15613,9,12,5301,0.4202,0.3
2666,2069,12879,14847,63,21,13560,0.7979,0.99
2667,11085,31175,17183,65,95,769,0.7003,0.43
2668,17375,30797,350,53,49,3178,0.7784,0.06
2669,4570,9895,4745,34,64,14647,0.3398,0.9
2670,23659,38560,12224,21,79,2839,0.2242,0.17
2671,10325,4318,16272,74,25,11798,0.7954,0.4
2672,9656,37671,16711,62,74,15356,0.4707,0.28
2673,24804,11772,10800,67,25,12645,0.3258,0.96
2674,9306,31142,7357,65,62,6950,0.2643,0.38
2675,10091,36050,18595,67,59,657,0.5616,0.71
2676,23296,11109,13868,19,32,15122,0.3051,0.6
2677,7619,47196,1439,5,85,3641,0.5967,0.04
2678,13769,19644,8932,17,86,5695,0.7091,0.38
2679,4712,29481,19902,52,79,4169,0.5745,0.39
2680,26194,25387,10090,38,50,5361,0.8326,0.99
2681,12473,2686,6191,34,48,8994,0.3089,0.81
2682,17682,2748,13160,23,93,3098,0.5458,0.86
2683,28549,40181,6019,68,98,4494,0.3142,0.31
2684,15652,18201,13212,70,29,4170,0.8131,0.33
2685,14746,45412,9181,61,75,11703,0.8526,0.52
2686,5338,21792,5087,48,53,16050,0.48,0.63
2687,15677,7507,14743,16,50,1064,0.414,0.73
2688,27150,17354,2501,44,95,12936,0.3955,0.82
2689,22573,15334,74,28,94,10010,0.8018,0.87
2690,28161,22311,6012,15,67,1641,0.6777,0.02
2691,22741,29580,2606,70,81,11503,0.8164,0.8
2692,28725,47880,16494,5,92,13389,0.2823,0.61
2693,15604,24946,7725,62,16,2638,0.5332,0.53
2694,24189,42603,16556,32,82,2588,0.6733,0.63
2695,3819,46293,5666,72,61,14873,0.828,0.88
2696,402,48566,10344,98,77,12509,0.4674,0.55
2697,12244,15421,17620,63,68,6231,0.4192,0.16
2698,29359,12746,14060,75,35,12258,0.8391,0.44
2699,17470,22217,13444,26,8,19532,0.2333,0.92
2700,10155,4993,9972,94,58,13085,0.5357,0.81
2701,4540,9576,4139,33,87,5926,0.521,0.2
2702,21393,17370,14498,93,69,1525,0.3022,0.71
2703,3172,21802,2522,78,97,13830,0.4765,0.26
2704,13698,4482,10519,88,10,5125,0.7058,0.35
2705,14387,1885,7500,82,69,11379,0.4568,0.47
2706,14065,45898,3014,73,93,2905,0.4168,0.44
2707,19608,11835,8154,49,95,18057,0.7473,0.03
2708,9619,30277,17744,74,26,5686,0.8921,0.77
2709,13480,30812,2262,90,21,10945,0.7455,0.85
2710,27084,16779,9504,21,63,9382,0.7924,0.53
2711,11965,43113,6842,83,33,2880,0.8577,0.17
2712,8225,35465,9604,43,71,8740,0.7612,0.25
2713,3391,17164,8753,44,21,14590,0.8862,0.13
2714,4133,30663,13269,32,6,4732,0.7231,0.17
2715,5205,33192,15449,6,36,9345,0.6631,0.88
2716,17187,48028,18279,86,26,3139,0.6853,0.48
2717,8233,26967,7710,31,62,1802,0.8301,0.11
2718,17058,45482,1752,25,57,4064,0.6781,0.25
2719,5804,33854,16824,91,90,663,0.7328,0.95
2720,27908,19602,17088,11,51,17077,0.3512,0.51
2721,7948,860,4321,65,8,11110,0.8389,0.52
2722,21692,24242,9005,56,42,17569,0.513,0.53
2723,13075,44753,19834,52,17,12934,0.3127,0.11
2724,7024,42096,11509,23,65,16252,0.7599,0.97
2725,27308,17390,6724,77,91,14187,0.4495,0.08
2726,20312,5599,17519,16,68,10604,0.3289,0.7
2727,19714,464,5496,98,81,16595,0.3794,0.06
2728,588,19897,2013,75,88,10063,0.2245,0.44
2729,7214,40895,10027,6,37,6119,0.2634,0.9
2730,26023,32635,10516,21,42,3452,0.6148,0.77
2731,28357,46400,5227,79,33,10869,0.8064,0.33
2732,15840,47276,11210,80,65,4043,0.514,0.55
2733,3273,16205,4622,7,36,13236,0.6382,0.17
2734,29265,8039,7593,25,15,106,0.7668,0.96
2735,1767,14036,8957,82,22,19671,0.4497,0.71
2736,26313,42129,16676,83,49,6046,0.658,0.37
2737,4214,15963,6560,55,25,669,0.4453,0.32
2738,3653,12661,17271,14,16,16091,0.6499,0.24
2739,7861,10547,3373,59,24,13116,0.3523,0.79
2740,1100,30724,19387,40,11,2663,0.8845,0.43
2741,15738,47040,9587,55,95,19269,0.2533,0.33
2742,25526,44746,10665,78,75,8369,0.5537,0.91
2743,17872,12511,1482,21,6,3607,0.4004,0.15
2744,5550,19565,7705,93,47,4221,0.6206,0.26
2745,3812,38316,8481,65,25,5032,0.4998,0.34
2746,1467,19742,8380,95,33,13582,0.4147,0.26
2747,8289,31362,11435,79,36,6975,0.375,0.59
2748,9113,30463,8661,17,49,17068,0.3277,0.6
2749,16938,2207,13922,69,80,15844,0.748,0.05
2750,26300,8028,16737,99,81,5787,0.3555,0.14
2751,19256,48102,2212,89,63,12952,0.7415,0.2
2752,3826,19417,6536,84,7,19007,0.5395,0.07
2753,23716,49178,4152,91,43,1206,0.2506,0.12
2754,27823,25117,15998,78,55,5703,0.3158,0.24
2755,28765,13628,10468,52,12,3918,0.825,0.35
2756,4906,13413,1218,90,50,8485,0.622,0.79
2757,2290,1659,465,74,70,17201,0.329,0.22
2758,9208,15267,10955,51,10,11459,0.6926,0.67
2759,12278,15443,13482,14,62,8656,0.7763,0.06
2760,2975,38698,5293,61,45,6620,0.4315,0.66
2761,5692,7623,16583,84,83,11525,0.5896,0.79
2762,17924,49877,5949,17,58,12586,0.4054,0.6
2763,12692,28539,888,65,80,11348,0.256,0.2
2764,9027,15624,6194,62,45,2936,0.4797,0.33
2765,28244,13385,9938,88,52,14638,0.726,0.81
2766,22543,11073,12581,72,74,911,0.5211,0.43
2767,14537,22794,15985,88,31,12006,0.4837,0.26
2768,11630,35874,7516,90,51,16643,0.4562,0.93
2769,7110,4402,15145,33,81,18591,0.5212,0.64
2770,11307,22491,11243,20,27,2427,0.4228,0.81
2771,23601,4711,1370,67,78,18623,0.6285,0.02
2772,27565,9472,13314,51,18,6280,0.2445,0.34
2773,25637,24412,12277,47,65,17789,0.7652,0.46
2774,3089,14180,17957,27,71,15059,0.3212,0.59
2775,12140,15182,5284,34,80,10935,0.6434,0.19
2776,9318,47509,12120,61,29,16278,0.5149,0.5
2777,22712,42961,6194,34,69,1700,0.7414,0.69
2778,28541,30777,602,71,28,16102,0.7783,0.35
2779,6571,20974,16915,60,57,3008,0.3429,0.69
2780,2963,8478,16019,28,77,6040,0.674,0.39
2781,10793,1697,649,81,54,18116,0.3329,0.47
2782,26623,11700,15148,80,5,12697,0.2868,0.13
2783,1277,3847,14850,12,43,18400,0.8512,0.65
2784,4860,13979,9406,92,78,3336,0.3151,0.22
2785,111,13117,12920,48,48,17429,0.3597,0.83
2786,21736,24915,12474,84,98,18576,0.2912,0.55
2787,16453,19064,2032,38,9,1006,0.5292,0.56
2788,20883,28912,18068,39,72,267,0.8437,0.91
2789,11656,40300,7880,54,76,2465,0.3848,0.17
2790,27698,24814,3047,21,84,11587,0.5793,0.53
2791,11663,18990,17120,6,69,1517,0.488,0.38
2792,14151,4825,11656,94,83,13024,0.4352,0.97
2793,11122,43305,1809,58,92,19306,0.6005,0.79
2794,8334,20784,7073,48,19,16466,0.5912,0.76
2795,25619,26425,13942,85,54,11161,0.4516,0.2
2796,27066,32642,18914,53,10,19921,0.7954,0.24
2797,21929,46137,15459,6,70,3128,0.2372,0.03
2798,16273,13192,9579,76,73,6688,0.2597,0.64
2799,27221,30482,164,74,43,4912,0.8935,0.37
2800,27087,39870,12199,13,33,18251,0.7234,0.31
2801,13278,25557,17002,5,97,12168,0.7628,0.64
2802,6670,6231,15751,73,92,12260,0.6219,0.83
2803,25680,46129,9795,13,50,15081,0.4939,0.13
2804,24696,25315,2739,18,35,4344,0.6405,0.92
2805,506,12712,19774,31,28,764,0.2648,0.03
2806,9306,37405,3038,13,19,14820,0.7304,0.1
2807,4531,13191,3201,40,80,19641,0.5785,0.84
2808,26514,35203,11769,97,24,4030,0.8697,0.49
2809,27864,37189,15708,88,8,4433,0.6462,0.94
2810,21727,29859,19449,83,62,18458,0.3062,0.46
2811,6642,46122,9063,7,81,11971,0.5343,0.93
2812,23420,659,6395,27,65,6912,0.2405,0.24
2813,9006,813,3624,77,14,19048,0.7218,0.62
2814,4246,37461,7888,34,45,860,0.5513,0.99
2815,12146,15284,18042,23,57,10697,0.4588,0.38
2816,12711,15361,16993,71,91,2080,0.878,0.0
2817,13176,20472,13379,54,75,13254,0.8584,0.06
2818,16624,32240,14873,52,80,6083,0.867,0.86
2819,29241,33124,5615,7,52,15295,0.3547,0.49
2820,4982,47442,4485,70,19,2022,0.71,0.54
2821,14213,32644,5700,31,11,8004,0.8618,0.8
2822,13745,137,18315,91,76,874,0.5996,0.81
2823,6112,43132,7486,44,75,1777,0.3499,0.48
2824,17447,12797,3758,22,47,7553,0.7725,0.86
2825,7251,41520,14501,31,8,5171,0.8159,0.47
2826,25048,48798,1759,15,55,18666,0.6923,0.68
2827,28311,31807,10003,43,75,15059,0.4055,0.03
2828,27217,26116,1742,23,63,5730,0.3335,0.14
2829,3710,34700,15573,93,45,6795,0.637,0.85
2830,9984,48385,14372,11,65,7655,0.538,0.31
2831,6994,24084,9487,99,34,812,0.6681,0.33
2832,13567,5267,175,61,22,71,0.2782,0.66
2833,23795,532,12994,6,34,18693,0.2951,0.59
2834,16589,4251,1249,42,11,14862,0.454,0.08
2835,22023,47780,6142,9,56,4611,0.3811,0.77
2836,9973,6511,16425,82,52,3355,0.6335,0.62
2837,12389,30888,2761,86,27,7820,0.4573,0.86
2838,12308,26723,9232,40,41,9783,0.6788,0.54
2839,10928,22204,6045,72,75,8662,0.7382,0.41
2840,23271,356,8232,92,97,11786,0.331,0.37
2841,2237,33539,5552,81,57,4486,0.8439,0.0
2842,28092,33357,12970,89,49,7147,0.751,0.04
2843,20929,39757,18932,61,53,6864,0.6387,0.13
2844,20014,44774,2615,24,53,8364,0.8363,0.93
2845,1386,18166,10839,9,86,8675,0.3861,0.88
2846,15810,45471,5074,28,51,16385,0.4952,0.5
2847,11471,32846,1081,34,29,4215,0.2601,0.18
2848,16045,2560,1291,32,95,19916,0.5193,0.15
2849,29834,37397,1792,57,31,8087,0.5545,0.26
2850,7152,34843,5759,55,16,19318,0.6312,0.91
2851,3754,3316,14789,11,27,19072,0.2448,0.52
2852,23586,14367,11880,46,21,14822,0.2227,0.8
2853,18843,9681,13828,39,48,18049,0.4939,0.51
2854,15700,4615,8210,98,75,15555,0.3324,0.61
2855,24589,22176,12425,38,28,3858,0.7312,0.61
2856,8736,44916,4453,77,75,16660,0.6681,0.03
2857,6541,9876,4947,80,97,13743,0.4281,0.45
2858,21531,22047,213,58,64,14376,0.232,0.86
2859,24711,3063,3360,33,57,14565,0.3277,0.49
2860,21687,6886,19822,14,96,585,0.6842,0.44
2861,9767,13966,17429,31,91,1172,0.8931,0.53
2862,12249,39068,15041,87,78,7139,0.4285,0.38
2863,1898,32405,18311,17,20,14153,0.7614,0.52
2864,26521,17460,19698,46,29,3584,0.807,0.14
2865,9700,40213,17782,41,70,17092,0.2337,0.97
2866,21775,32913,2301,65,54,15431,0.8414,0.03
2867,5595,1293,11142,83,73,14387,0.5263,0.48
2868,10000,4612,6640,25,82,7268,0.875,0.21
2869,13773,22766,7708,7,99,9408,0.577,0.06
2870,11230,16730,16866,12,44,5041,0.3646,0.65
2871,22768,9083,5297,74,10,13844,0.8823,0.99
2872,15322,736,7765,97,68,10213,0.3703,0.75
2873,23769,3875,3867,87,32,18337,0.8177,0.25
2874,1400,2521,17504,21,13,18046,0.3212,0.49
2875,23353,13125,4650,14,10,5447,0.6723,0.05
2876,9535,9380,10032,17,21,11948,0.4879,0.53
2877,28652,37051,1044,95,44,12313,0.8804,0.1
2878,19581,11451,4781,16,80,19889,0.3293,0.79
2879,4716,49964,7720,70,49,2054,0.4862,0.06
2880,16493,38191,17391,78,86,2783,0.6478,0.01
2881,29755,45756,8337,89,47,18875,0.8843,0.86
2882,10717,30271,18588,27,50,8000,0.4127,0.94
2883,5852,3744,17065,69,67,6401,0.4778,0.09
2884,9952,16242,11926,56,5,857,0.5233,0.28
2885,27307,7873,17131,65,63,16110,0.3769,0.74
2886,6395,28566,16465,30,67,18946,0.7721,0.54
2887,21299,10878,15902,19,83,407,0.2644,0.95
2888,17556,12601,13540,26,22,7361,0.6934,0.39
2889,3325,47277,5612,93,90,2451,0.5738,0.0
2890,29630,2208,8790,69,86,1324,0.3693,0.02
2891,1416,29469,2298,30,69,12713,0.545,0.56
2892,22183,36482,6242,25,24,1038,0.781,0.75
2893,12437,25918,9945,28,60,15654,0.5118,0.79
2894,6907,10351,6456,20,58,16451,0.2853,0.91
2895,23158,23441,1206,36,52,18172,0.2286,0.23
2896,3783,11778,14368,20,58,2813,0.7445,0.74
2897,7327,14467,8585,81,93,6678,0.4313,0.83
2898,3373,29772,5345,46,20,5171,0.8519,0.84
2899,23484,4432,12314,36,24,14761,0.632,0.41
2900,245,12102,6204,54,51,17347,0.5054,0.63
2901,5110,20384,18682,45,11,8807,0.5951,0.55
2902,16135,15800,9186,28,27,19346,0.52,0.6
2903,3140,13869,13263,17,79,1521,0.8341,0.28
2904,9754,29418,12122,79,37,3213,0.5206,0.68
2905,29352,24423,10292,83,44,15929,0.2728,0.71
2906,26260,27710,3335,14,9,16351,0.618,0.2
2907,16966,7063,9572,46,49,8853,0.6361,0.44
2908,19663,7938,2053,45,45,8677,0.7357,0.42
2909,17733,45267,10029,7,12,10651,0.8533,0.75
2910,29444,12343,10488,59,85,4067,0.5102,0.67
2911,17114,28039,14277,20,86,2659,0.4465,0.48
2912,15096,1945,3722,48,54,132,0.5435,0.65
2913,16436,46810,7508,85,95,1839,0.8301,0.26
2914,8953,16866,18589,93,35,14069,0.886,0.23
2915,11795,36980,3529,34,8,9292,0.8799,0.24
2916,2952,12880,14937,41,70,5758,0.3608,0.03
2917,16114,48558,101,64,60,8023,0.5478,0.69
2918,27142,42956,2209,81,9,4166,0.3816,0.99
2919,1087,1609,4440,28,85,13406,0.4576,0.31
2920,7722,24057,16130,30,58,13291,0.2222,0.93
2921,23811,45272,2162,62,97,5576,0.3124,0.61
2922,26222,34446,12802,13,84,19175,0.478,0.22
2923,25325,17363,14643,65,5,847,0.4553,0.01
2924,9260,46974,15389,23,80,2576,0.3952,0.72
2925,27313,26248,1404,32,87,17196,0.3612,0.7
2926,17584,31633,5670,11,77,8859,0.7243,0.23
2927,6752,42708,3804,49,65,12122,0.4062,0.33
2928,25116,13031,16643,90,11,4856,0.6946,0.9
2929,7521,1459,16217,98,34,12674,0.458,0.16
2930,21500,24632,287,67,19,15557,0.7614,0.84
2931,869,20444,8577,41,8,17201,0.3171,0.17
2932,17827,4342,8125,20,67,15204,0.3103,0.48
